timestamp_utc,SIPX_EUR_kWh,customer00_cons_kWh,customer00_prod_kWh,customer01_cons_kWh,customer02_prod_kWh,customer03_cons_kWh,customer03_prod_kWh,customer04_cons_kWh,customer05_cons_kWh,customer06_cons_kWh,customer07_cons_kWh,customer08_prod_kWh,customer09_prod_kWh,customer10_prod_kWh,customer11_cons_kWh,customer12_prod_kWh,customer13_cons_kWh
2023-12-31 23:00:00+00:00,0.0001,55.965,0.0,8.496,0.0,53.8425,0.0,8.6475,0.679,30.816000000000003,1.44,0.0,0.0,0.0,0.29,0.0,3.234
2024-01-01 00:00:00+00:00,1e-05,63.03,0.0,8.541,0.0,51.75,0.0,8.5975,0.8460000000000001,29.406,1.08,0.0,0.0,0.0,0.491,0.0,2.14
2024-01-01 01:00:00+00:00,2.9999999999999997e-05,80.685,0.0,8.871,0.0,51.93,0.0,8.629999999999999,0.663,28.637999999999998,1.2,0.0,0.0,0.0,0.8109999999999999,0.0,2.048
2024-01-01 02:00:00+00:00,0.0,80.19,0.0,8.271,0.0,44.235,0.0,8.485,0.877,40.025999999999996,1.44,0.0,0.0,0.0,0.222,0.0,2.032
2024-01-01 03:00:00+00:00,0.0,67.60499999999999,0.0,5.832,0.0,43.8525,0.0,192.6525,0.9089999999999999,40.11,1.2,0.0,0.0,0.0,0.8140000000000001,0.0,2.059
2024-01-01 04:00:00+00:00,0.0,75.405,0.0,4.971,0.0,43.4925,0.0,52.45,1.011,40.751999999999995,1.08,0.0,0.0,0.0,0.612,0.0,2.713
2024-01-01 05:00:00+00:00,2e-05,99.975,0.0,4.416,0.0,43.875,0.0,33.2125,1.113,40.757999999999996,1.2,0.0,0.0,0.0,0.448,0.0,4.023
2024-01-01 06:00:00+00:00,0.0,94.995,0.0,7.125,0.0,44.0775,0.0,12.195,1.037,43.59,1.2,0.504,0.0,0.0,0.422,0.045,4.2379999999999995
2024-01-01 07:00:00+00:00,0.0,73.635,0.0,10.737,0.0,44.0775,0.0,8.275,1.077,37.68,0.12,8.879999999999999,1.254,0.079,0.47,0.9275,3.538
2024-01-01 08:00:00+00:00,4e-05,53.64,0.0,9.534,5.0385,43.875,0.0,7.3325,1.0350000000000001,37.428,0.0,16.247999999999998,6.906,0.569,0.5529999999999999,4.8825,4.01
2024-01-01 09:00:00+00:00,5.9999999999999995e-05,54.885000000000005,0.0,10.761,6.9045,44.2125,0.0,5.3875,0.785,35.459999999999994,0.0,52.056,12.522,8.036999999999999,0.613,7.4775,3.081
2024-01-01 10:00:00+00:00,0.00054,45.045,0.33,9.813,13.4325,44.2125,0.0,0.7525,0.869,29.628,0.0,71.54400000000001,16.212,11.042,0.6799999999999999,15.6025,3.484
2024-01-01 11:00:00+00:00,0.0022400000000000002,48.885,0.0,10.545,13.122,44.7525,0.0,0.645,0.621,13.506,0.0,129.96,29.177999999999997,11.669,0.182,19.8175,3.754
2024-01-01 12:00:00+00:00,0.00283,43.56,0.0,12.27,11.412,44.707499999999996,0.0,4.2175,0.636,49.008,0.0,78.384,14.040000000000001,8.112,0.718,13.8875,3.694
2024-01-01 13:00:00+00:00,0.00704,53.16,0.0,11.46,8.740499999999999,44.145,0.0,5.202500000000001,0.46799999999999997,37.626,0.0,37.92,6.48,2.7720000000000002,0.223,8.5025,2.753
2024-01-01 14:00:00+00:00,0.028489999999999998,69.0,0.0,12.336,2.133,44.0775,0.0,7.3875,0.632,46.176,0.0,16.248,2.46,1.381,0.743,2.97,2.199
2024-01-01 15:00:00+00:00,0.047479999999999994,70.57499999999999,0.0,10.047,0.057,43.7175,0.0,8.32,1.04,48.18,1.08,0.84,0.168,0.059,0.901,0.16749999999999998,2.497
2024-01-01 16:00:00+00:00,0.05711,60.93,0.0,10.001999999999999,0.0,43.74,0.0,8.8325,1.03,45.084,1.2,0.0,0.0,0.0,1.219,0.0,2.989
2024-01-01 17:00:00+00:00,0.05891,60.84,0.0,5.487,0.0015,43.8525,0.0,8.7425,1.153,44.934,1.2,0.0,0.0,0.0,1.295,0.0,4.268000000000001
